hidden,ethnie,proportion,proportion_correct_cau,proportion_correct_ch
100,cau,40,1.0,1.0
100,cau,40,1.0,1.0
100,cau,40,1.0,1.0
100,cau,40,1.0,1.0
100,cau,40,1.0,1.0
100,cau,40,0.02702702702702703,0.017857142857142856
100,cau,40,0.02702702702702703,0.0
100,cau,40,1.0,1.0
100,cau,40,1.0,1.0
100,cau,40,1.0,1.0
100,cau,40,1.0,1.0
100,cau,40,1.0,1.0
100,cau,40,0.02702702702702703,0.017857142857142856
100,cau,30,0.0,0.03571428571428571
100,cau,30,0.041666666666666664,0.0
100,cau,30,0.0,0.017857142857142856
100,cau,30,1.0,1.0
100,cau,30,1.0,1.0
100,cau,30,0.0,0.017857142857142856
100,cau,30,1.0,1.0
100,cau,30,0.0,0.017857142857142856
100,cau,30,1.0,1.0
100,cau,30,1.0,1.0
100,cau,30,1.0,1.0
100,cau,30,0.041666666666666664,0.0
100,cau,30,1.0,1.0
100,cau,30,0.0,0.017857142857142856
100,cau,30,1.0,1.0
100,cau,30,0.041666666666666664,0.0
100,cau,30,1.0,1.0
100,cau,30,1.0,1.0
100,cau,30,1.0,1.0
100,cau,30,1.0,1.0
100,cau,20,0.0,0.017857142857142856
100,cau,20,0.07142857142857142,0.017857142857142856
100,cau,20,1.0,1.0
100,cau,20,0.07142857142857142,0.017857142857142856
100,cau,20,0.0,0.07142857142857142
100,cau,20,1.0,1.0
100,cau,20,0.0,0.017857142857142856
100,cau,20,0.0,0.017857142857142856
100,cau,20,1.0,1.0
100,cau,20,0.07142857142857142,0.017857142857142856
100,cau,20,1.0,1.0
100,cau,20,1.0,1.0
100,cau,20,0.0,0.017857142857142856
100,cau,20,1.0,1.0
100,cau,20,1.0,1.0
100,cau,20,0.0,0.017857142857142856
100,cau,20,1.0,1.0
100,cau,20,0.0,0.017857142857142856
100,cau,20,1.0,1.0
100,cau,20,1.0,1.0
100,cau,10,0.0,0.017857142857142856
100,cau,10,0.16666666666666666,0.0
100,cau,10,0.0,0.03571428571428571
100,cau,10,0.0,0.017857142857142856
100,cau,10,1.0,1.0
100,cau,10,1.0,1.0
100,cau,10,1.0,1.0
100,cau,10,1.0,1.0
100,cau,10,1.0,1.0
100,cau,10,1.0,1.0
100,cau,10,1.0,1.0
100,cau,10,0.0,0.017857142857142856
100,cau,10,1.0,1.0
100,cau,10,1.0,1.0
100,cau,10,0.16666666666666666,0.0
100,cau,10,0.0,0.017857142857142856
100,cau,10,1.0,1.0
100,cau,10,1.0,1.0
100,cau,10,1.0,1.0
100,cau,10,1.0,1.0
100,cau,0,0.0,1.0
100,cau,0,0.0,1.0
100,cau,0,0.0,1.0
100,cau,0,0.0,0.017857142857142856
100,cau,0,0.0,1.0
100,cau,0,0.0,0.017857142857142856
100,cau,0,0.0,0.017857142857142856
100,cau,0,0.0,1.0
100,cau,0,0.0,0.017857142857142856
100,cau,0,0.0,0.017857142857142856
100,cau,0,0.0,1.0
100,cau,0,0.0,0.03571428571428571
100,cau,0,0.0,1.0
100,cau,0,0.0,1.0
100,cau,0,0.0,0.05357142857142857
100,cau,0,0.0,1.0
100,cau,0,0.0,1.0
100,cau,0,0.0,0.017857142857142856
100,cau,0,0.0,0.017857142857142856
100,cau,0,0.0,0.017857142857142856
